tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
1,customer_01,true,2024-01-01T09:00:00Z,"I cannot log in to my account",2,
2,demo_brand,false,2024-01-01T09:04:00Z,"I’m sorry you’re having trouble signing in. Please use the password reset link and reply if you still cannot access the account.",,1
3,customer_02,true,2024-01-01T10:00:00Z,"My password reset email never arrived",4,
4,demo_brand,false,2024-01-01T10:05:00Z,"Please check your spam folder and confirm the email address on the account so we can help with access.",,3
5,customer_03,true,2024-01-02T09:00:00Z,"I was charged twice for the same order",6,
6,demo_brand,false,2024-01-02T09:03:00Z,"I’m sorry about the duplicate charge. Please share the transaction details so the support team can review it.",,5
7,customer_04,true,2024-01-02T10:00:00Z,"Why did my card get charged a fee?",8,
8,demo_brand,false,2024-01-02T10:06:00Z,"Please send the transaction date and amount so we can check the charge details for you.",,7
9,customer_05,true,2024-01-03T09:00:00Z,"I want a refund for this purchase",10,
10,demo_brand,false,2024-01-03T09:05:00Z,"Please share the order details so the support team can review the refund request.",,9
11,customer_06,true,2024-01-03T10:00:00Z,"Can you cancel my subscription?",12,
12,demo_brand,false,2024-01-03T10:05:00Z,"We can review the cancellation request once you send the account details associated with the subscription.",,11
13,customer_07,true,2024-01-04T09:00:00Z,"Where is my order? The delivery is late",14,
14,demo_brand,false,2024-01-04T09:04:00Z,"Please share the order number so we can check the delivery status and tracking details.",,13
15,customer_08,true,2024-01-04T10:00:00Z,"The tracking says delivered but I am missing the package",16,
16,demo_brand,false,2024-01-04T10:06:00Z,"I’m sorry the package is missing. Please send the order number so the delivery can be investigated.",,15
17,customer_09,true,2024-01-05T09:00:00Z,"The app keeps crashing when I open it",18,
18,demo_brand,false,2024-01-05T09:04:00Z,"Please tell us your device and app version so we can investigate the crash.",,17
19,customer_10,true,2024-01-05T10:00:00Z,"I see an error when I try to check out",20,
20,demo_brand,false,2024-01-05T10:07:00Z,"Please share the error message and the device or browser you are using so we can investigate.",,19
21,customer_11,true,2024-01-06T09:00:00Z,"What plans are available?",22,
22,demo_brand,false,2024-01-06T09:04:00Z,"Please tell us which product you are considering and we can share the available plan information.",,21
23,customer_12,true,2024-01-06T10:00:00Z,"How do I update my account information?",24,
24,demo_brand,false,2024-01-06T10:05:00Z,"Please confirm which account detail you want to update and we can point you to the right steps.",,23
25,customer_13,true,2024-01-07T09:00:00Z,"This service has been terrible and I am frustrated",26,
26,demo_brand,false,2024-01-07T09:05:00Z,"I’m sorry this has been frustrating. Please share more details about what happened so the team can review it.",,25
27,customer_14,true,2024-01-07T10:00:00Z,"I am disappointed with the support I received",28,
28,demo_brand,false,2024-01-07T10:05:00Z,"I’m sorry we did not meet your expectations. Please tell us what remains unresolved so we can review it.",,27
29,customer_15,true,2024-01-08T09:00:00Z,"I cannot sign in after changing my phone",30,
30,demo_brand,false,2024-01-08T09:04:00Z,"Please confirm the email on the account and we can help review the verification issue.",,29
31,customer_16,true,2024-01-08T10:00:00Z,"My payment failed at checkout",32,
32,demo_brand,false,2024-01-08T10:05:00Z,"Please check that the payment details are correct and share the error message if the payment still fails.",,31
33,customer_17,true,2024-01-09T09:00:00Z,"Can I get my money back?",34,
34,demo_brand,false,2024-01-09T09:05:00Z,"Please send the order details so the support team can review the refund request.",,33
35,customer_18,true,2024-01-09T10:00:00Z,"My package has not arrived yet",36,
36,demo_brand,false,2024-01-09T10:05:00Z,"Please share the order number so we can check the delivery status.",,35
37,customer_19,true,2024-01-10T09:00:00Z,"The website is broken for me",38,
38,demo_brand,false,2024-01-10T09:05:00Z,"Please tell us which browser and device you are using and what happens on the page.",,37
39,customer_20,true,2024-01-10T10:00:00Z,"Where can I find pricing information?",40,
40,demo_brand,false,2024-01-10T10:05:00Z,"Please tell us which product you are considering and we can share the available pricing information.",,39
41,customer_21,true,2024-01-11T09:00:00Z,"I need help with something unusual",42,
42,demo_brand,false,2024-01-11T09:05:00Z,"Please share a few more details about the issue so the support team can review it.",,41
43,customer_22,true,2024-01-11T10:00:00Z,"This is an awful experience",44,
44,demo_brand,false,2024-01-11T10:05:00Z,"I’m sorry this has been frustrating. Please share more details so we can review what happened.",,43
45,customer_23,true,2024-01-12T09:00:00Z,"How do I reset my login password?",46,
46,demo_brand,false,2024-01-12T09:05:00Z,"Please use the password reset link and reply if you still cannot access the account.",,45
47,customer_24,true,2024-01-12T10:00:00Z,"The order tracking has not updated",48,
48,demo_brand,false,2024-01-12T10:05:00Z,"Please share the order number so we can check the delivery status and tracking details.",,47
