id,customer_message,context,intent,expected_action,notes,suggested_intent,suggested_action
golden-001,I cannot log in to my account,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-002,My password reset email never arrived,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-003,I was charged twice for the same order,support_author=demo_brand,,,Candidate only; human review required before evaluation.,billing_payment,AUTO_HANDLE
golden-004,Why did my card get charged a fee?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,billing_payment,AUTO_HANDLE
golden-005,I want a refund for this purchase,support_author=demo_brand,,,Candidate only; human review required before evaluation.,refund_cancellation,AUTO_HANDLE
golden-006,Can you cancel my subscription?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,refund_cancellation,AUTO_HANDLE
golden-007,Where is my order? The delivery is late,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-008,The tracking says delivered but I am missing the package,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-009,The app keeps crashing when I open it,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-010,I see an error when I try to check out,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-011,What plans are available?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,product_information,AUTO_HANDLE
golden-012,How do I update my account information?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,product_information,AUTO_HANDLE
golden-013,This service has been terrible and I am frustrated,support_author=demo_brand,,,Candidate only; human review required before evaluation.,complaint,AUTO_HANDLE
golden-014,I am disappointed with the support I received,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-015,I cannot sign in after changing my phone,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-016,My payment failed at checkout,support_author=demo_brand,,,Candidate only; human review required before evaluation.,billing_payment,AUTO_HANDLE
golden-017,Can I get my money back?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,refund_cancellation,AUTO_HANDLE
golden-018,My package has not arrived yet,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-019,The website is broken for me,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-020,Where can I find pricing information?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,product_information,AUTO_HANDLE
golden-021,I need help with something unusual,support_author=demo_brand,,,Candidate only; human review required before evaluation.,other,ESCALATE
golden-022,This is an awful experience,support_author=demo_brand,,,Candidate only; human review required before evaluation.,complaint,AUTO_HANDLE
golden-023,How do I reset my login password?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-024,The order tracking has not updated,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-025,I cannot log in to my account,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-026,My password reset email never arrived,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-027,I was charged twice for the same order,support_author=demo_brand,,,Candidate only; human review required before evaluation.,billing_payment,AUTO_HANDLE
golden-028,Why did my card get charged a fee?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,billing_payment,AUTO_HANDLE
golden-029,I want a refund for this purchase,support_author=demo_brand,,,Candidate only; human review required before evaluation.,refund_cancellation,AUTO_HANDLE
golden-030,Can you cancel my subscription?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,refund_cancellation,AUTO_HANDLE
golden-031,Where is my order? The delivery is late,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-032,The tracking says delivered but I am missing the package,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-033,The app keeps crashing when I open it,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-034,I see an error when I try to check out,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-035,What plans are available?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,product_information,AUTO_HANDLE
golden-036,How do I update my account information?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,product_information,AUTO_HANDLE
golden-037,This service has been terrible and I am frustrated,support_author=demo_brand,,,Candidate only; human review required before evaluation.,complaint,AUTO_HANDLE
golden-038,I am disappointed with the support I received,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
golden-039,I cannot sign in after changing my phone,support_author=demo_brand,,,Candidate only; human review required before evaluation.,account_access,AUTO_HANDLE
golden-040,My payment failed at checkout,support_author=demo_brand,,,Candidate only; human review required before evaluation.,billing_payment,AUTO_HANDLE
golden-041,Can I get my money back?,support_author=demo_brand,,,Candidate only; human review required before evaluation.,refund_cancellation,AUTO_HANDLE
golden-042,My package has not arrived yet,support_author=demo_brand,,,Candidate only; human review required before evaluation.,delivery_status,AUTO_HANDLE
golden-043,The website is broken for me,support_author=demo_brand,,,Candidate only; human review required before evaluation.,technical_issue,AUTO_HANDLE
